Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
MCA2-6895,The Who,Quadrophenia,MCA Records,"2xLP, Album, RE",,1980,3479388,Uncategorized,2015-02-18 16:57:05,,,
SRM-1-1029,10cc,The Original Soundtrack,Mercury,"LP, Album",,1975,1289591,Uncategorized,2015-10-28 07:09:25,,,
SRM-1-675,New York Dolls,New York Dolls,Mercury,"LP, Album, RE, Red",,0,3542318,Uncategorized,2015-07-29 20:52:52,,,
MRG195,Spoon,Girls Can Tell,Merge Records,"LP, Album, RE, 180",,2008,1692383,Uncategorized,2015-07-11 21:02:32,,,
MFSL 1-012,Fleetwood Mac,Fleetwood Mac,Mobile Fidelity Sound Lab,"LP, Album",,1979,1844187,Uncategorized,2015-05-23 15:09:35,,,
MOVLP480,Portishead,Roseland NYC Live,Music On Vinyl,"2xLP, Album, RE, 180",,2012,3495277,Uncategorized,2015-07-13 18:36:46,,,
LPSEEDS13,Nick Cave & The Bad Seeds,Abattoir Blues / The Lyre Of Orpheus,"Mute, BMG","2xLP, Album, RE, 180",,2014,6295022,Uncategorized,2015-07-11 21:08:27,,,
PAW 014,Panda Bear,Person Pitch,Paw Tracks,"2xLP, Album",,2007,1019304,Uncategorized,2015-07-01 14:57:04,,,
23MM 0124,Brian Eno,Here Come The Warm Jets,Polydor,"LP, Album, RE",,1977,2702816,Uncategorized,2015-05-23 16:17:50,,,
PRC-202-1,Of Montreal,The Controllersphere,Polyvinyl Record Company,"12"", EP",,2011,2904344,Uncategorized,2015-02-18 19:29:13,,,
RS 506,The Pretty Things,S. F. Sorrow,Rare Earth,"LP, Album, Die",,1969,1489023,Uncategorized,2015-05-23 14:57:56,,,
88875-05655-1,D'Angelo And The Vanguard (3),Black Messiah,RCA,"2xLP, Album, Gat",,2015,6625795,Uncategorized,2015-12-11 12:27:02,,,
88875071411,Lou Reed,Transformer,RCA,"LP, Ltd,  Bl",,2015,7002449,Uncategorized,2015-07-11 21:06:27,,,
ANL1-2480,Lou Reed,Coney Island Baby,RCA,"LP, Album, RE",,0,1757297,Uncategorized,2015-05-23 15:27:21,,,
RS 1055,David Bowie,ChangesOneBowie,RCA,"LP, Comp, RE, Bla",,1980,3386183,Uncategorized,2015-11-06 05:46:26,,,
AFL1-2276,Harry Nilsson,Knnillssonn,RCA Victor,"LP, Album, Promo, Gat",,1977,4135498,Uncategorized,2015-01-28 21:49:29,,,
AFL1-2522,David Bowie,"""Heroes""",RCA Victor,"LP, Album",,1977,774430,Uncategorized,2015-05-23 16:11:33,,,
AFL1-2798,Harry Nilsson,Greatest Hits,RCA Victor,"LP, Comp",,1978,1608201,Uncategorized,2015-01-28 21:42:56,,,
AFL1-4717,Harry Nilsson,Son Of Schmilsson,RCA Victor,"LP, Album, RE, Gat",,0,3830806,Uncategorized,2015-01-28 21:56:37,,,
APL1-0097,Harry Nilsson,A Little Touch Of Schmilsson In The Night,RCA Victor,"LP, Album, Gat",,1973,1291966,Uncategorized,2015-01-28 21:46:55,,,
AQL1-3254,David Bowie,Lodger,RCA Victor,"LP, Album",,1979,1574337,Uncategorized,2015-05-23 16:13:59,,,
AYL1-3890,David Bowie,Aladdin Sane,RCA Victor,"LP, Album, RE",,1980,710502,Uncategorized,2015-05-23 16:09:45,,,
CPL1-0570,Harry Nilsson,Pussy Cats,RCA Victor,"LP, Album, Gat",,1974,1292160,Uncategorized,2015-01-28 22:00:13,,,
CPL1-0611,Lou Reed,Sally Can't Dance,RCA Victor,"LP, Album",,1974,1074988,Uncategorized,2015-05-23 15:26:07,,,
CPL1-2030,David Bowie,Low,RCA Victor,"LP, Album",,1977,59734,Uncategorized,2015-05-23 16:16:04,,,
LSP-4515,Harry Nilsson,Nilsson Schmilsson,RCA Victor,"LP, Album, RP",,1971,5531328,Uncategorized,2015-01-28 21:39:54,,,
LSP-4623,David Bowie,Hunky Dory,RCA Victor,"LP, Album, Ind",,1971,5040232,Uncategorized,2015-01-28 19:25:16,,,
LSP-4623,David Bowie,Hunky Dory,RCA Victor,"LP, Album",,0,5591655,Uncategorized,2015-05-23 16:04:44,,,
LSPX-1003,Harry Nilsson,The Point!,RCA Victor,"LP, Album, RE, Gat",,0,4544417,Uncategorized,2015-01-28 21:51:37,,,
"LSP 4701, 26.21088",Lou Reed,Lou Reed,"RCA Victor, RCA Victor","LP, Album",,0,2055150,Uncategorized,2015-11-06 05:48:25,,,
517786-1,Fleetwood Mac,Rumours,Reprise Records,"LP, Album, RE, 180",,2011,2832092,Uncategorized,2015-05-23 15:08:04,,,
MS 2032,Neil Young,Harvest,Reprise Records,"LP, Album, RP, Gat",,1975,3244625,Uncategorized,2015-05-23 15:06:44,,,
MS 2193,Randy Newman,Good Old Boys,Reprise Records,"LP, Album",,1974,5901088,Uncategorized,2015-02-18 17:25:37,,,
MS 2193,Randy Newman,Good Old Boys,Reprise Records,"LP, Album",,1974,4814152,Uncategorized,2015-05-23 15:30:39,,,
R 2180,Neil Young,On The Beach,Reprise Records,"LP, Album",,1974,5591669,Uncategorized,2016-02-23 06:59:12,,,
"RS 6279, R 6279",The Kinks,Something Else By The Kinks,"Reprise Records, Reprise Records","LP, Album",,1967,1730036,Uncategorized,2015-01-31 18:30:30,,,
2564665908,The Smiths,Complete,Rhino Records (2),"LP, Album, RM, RE + LP, Album, RM, RE + LP, Album,",,2011,3175246,Uncategorized,2015-01-28 19:36:48,,,
8122796557,Curtis Mayfield,Curtis,"Rhino Records (2), Curtom","LP, Album, RE, Gat",,2013,4681404,Uncategorized,2015-07-13 18:38:54,,,
RTT 197,The Smiths,Girlfriend In A Coma,Rough Trade,"12"", Single",,1987,388479,Uncategorized,2015-01-28 19:37:23,,,
STH2126,J Dilla,Donuts,Stones Throw Records,"2x12"", Album, MP, Num, Gat + 12"" + Club, RE, 180",,2015,6784565,Uncategorized,2015-04-26 04:28:21,,,
SP 1030,Low,The Invisible Way,Sub Pop,"LP, Album, Ltd, Red",,2013,4375167,Uncategorized,2015-07-29 20:59:16,,,
SP 1115,Father John Misty,"I Love You, Honeybear",Sub Pop,"2xLP, Album, Club, Ltd, Cle",,2015,6645010,Uncategorized,2015-02-19 14:27:13,,,
SF042,Various,Shadow Music Of Thailand,Sublime Frequencies,"LP, Ltd, Comp",,2008,1291659,Uncategorized,2015-07-29 20:38:52,,,
TOM 99,Tom Waits,Bourbon Jesus,Swinging Dog Records,"LP, Unofficial",,2013,5182444,Uncategorized,2015-10-14 05:51:27,,,
T 326L,Stevie Wonder,Innervisions,Tamla,"LP, Album, Gat",,1973,2671612,Uncategorized,2015-02-18 19:38:14,,,
T7-314R1,Stevie Wonder,Music Of My Mind,Tamla,"LP, Album",,1972,394689,Uncategorized,2016-03-01 10:52:38,,,
"T 364LP2, T 364 LP2",Marvin Gaye,"Here, My Dear","Tamla, Tamla","2xLP, Album, Gat",,1978,306710,Uncategorized,2016-02-23 07:46:11,,,
CGO 85,Cate Le Bon,Cyrk,The Control Group,"LP, Album, Ltd, RP, Whi",,2012,3603804,Uncategorized,2015-02-18 19:48:57,,,
Pure 196LP,mclusky,mcluskyism,Too Pure,"LP, Comp, Ltd",,2015,6911089,Uncategorized,2015-06-30 05:42:40,,,
tnrl080,Roadside Monument,Eight Hours Away From Being A Man,Tooth & Nail Records,2xLP,,1997,2108573,Uncategorized,2015-02-13 15:41:47,,,
0602547311009,Kendrick Lamar,To Pimp A Butterfly,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records","2xLP, Album",,2015,7568442,Uncategorized,2016-01-21 17:46:08,,,
TG149,Girls Against Boys,**House Of GVSB**,Touch And Go,LP,,0,4531727,Uncategorized,2015-10-19 20:50:00,,,
TG211,Shellac,1000 Hurts,Touch And Go,"LP, Album + CD, Album + Box",,2000,598989,Uncategorized,2015-07-29 20:46:50,,,
CLHC001,The Clash,Harlesden's Burning,Trade Mark Of Quality (2),"LP, Unofficial",,2012,3497918,Uncategorized,2015-10-14 05:51:02,,,
302 067 195 1,Harry Nilsson,Flash Harry,Varèse Sarabande,"LP, Album, RE",,2013,4822775,Uncategorized,2015-01-28 21:34:49,,,
VOG 1 3357,Dire Straits,Brothers In Arms,Vertigo,"LP, Album",,1985,1417554,Uncategorized,2015-05-23 15:43:06,,,
MG V-8274,The Ben Webster Quintet,Soulville,Verve Records,"LP, Album, Club, Num, RE, 180",,2014,6514340,Uncategorized,2015-02-04 11:30:37,,,
V6-5008,The Velvet Underground & Nico (3),The Velvet Underground & Nico,Verve Records,"LP, Album, Ltd, RE, 180",,1998,1219423,Uncategorized,2015-05-23 15:18:51,,,
VR 13-105,Mike Oldfield,Tubular Bells,Virgin,"LP, Album, MS",,1973,6465075,Uncategorized,2015-05-23 16:21:59,,,
61422-31027-1,Tool (2),Opiate,Volcano (2),"12"", EP, RE, Cor",,0,3885407,Uncategorized,2015-07-29 20:49:29,,,
2HS 3350,Fleetwood Mac,Tusk,Warner Bros. Records,"2xLP, Album",,1979,5600757,Uncategorized,2015-05-23 15:13:11,,,
527227-1,The Flaming Lips,Heady Nuggs: The First 5 Warner Bros. Records 1992-2002,Warner Bros. Records,"6xLP, Comp, Ltd",,2011,2849917,Uncategorized,2015-01-28 19:36:15,,,
BSK 3079,Randy Newman,Little Criminals,Warner Bros. Records,"LP, Album",,1977,5912665,Uncategorized,2015-05-23 15:32:40,,,
BSK 3147,Sex Pistols,Never Mind The Bollocks Here's The Sex Pistols,Warner Bros. Records,"LP, Album, RP",,1979,2741824,Uncategorized,2015-07-29 21:14:37,,,
BSK 3266,Dire Straits,Dire Straits,Warner Bros. Records,"LP, Album",,1978,621110,Uncategorized,2015-05-23 15:44:58,,,
HS 3516,The Who,Face Dances,Warner Bros. Records,"LP, Album",,1981,6365289,Uncategorized,2015-01-31 18:21:36,,,
R1 78976,Black Sabbath,Paranoid,Warner Bros. Records,"LP, Album, Club, RE, Pur",,2015,7727104,Uncategorized,2015-12-24 22:02:35,,,
"XL LP 450, YT031LP",The XX,XX,"XL Recordings, Young Turks","LP, Album",,2009,1976385,Uncategorized,2015-11-06 05:39:09,,,
72445-11087-1,Tool (2),Ænima,"Zoo Entertainment (3), BMG (2)","2xLP, Album, Unofficial, Gat",,0,4056845,Uncategorized,2016-02-04 08:52:30,,,
